SKU코드,SKU상품명,과세여부,입수량
G604E,[BOX] 가쓰오 슈토우 1kg,과세,6
S011E,[BOX] 고래미 가라아게파우더2kg,과세,
G510E,[BOX] 고래미 가쯔오참치다다끼1kg,면세,8
G028E,[BOX] 고래미 가쯔오참치다다끼2kg,면세,
G024E,[BOX] 고래미 간장대하장 [300g],과세,
G090E,[BOX] 고래미 간장새우비빔장 500g,과세,12
G035E,[BOX] 고래미 게가라아게500g,과세,
G686E,[BOX] 고래미 고노와다 500g,면세,12
G034E,[BOX] 고래미 깡새우가라아게1kg,과세,
G656E,[BOX] 고래미 날치알 스칼렛 300g,과세,20
G097E,[BOX] 고래미 마라해물모둠 920g x 10EA,과세,
G521E,[BOX] 고래미 모즈쿠900g (최신),과세,8
G037E,[BOX] 고래미 모찌리도후 파우더1kg,과세,
G971E,[BOX] 고래미 보타르가 150g + 미니 강판 세트,과세,6
G103E,[BOX] 고래미 불맛 쭈꾸미볶음 340g,과세,
G523E,[BOX] 고래미 불맛 쭈꾸미볶음 800g (400g x 2ea),과세,10
G033E,[BOX] 고래미 새우살가라아게1kg,과세,
G112E,[BOX] 고래미 숭어어란 슬라이스 20g x 10ea,과세,10
G952E,[BOX] 고래미 숭어어란 카라스미 1kg,과세,5
G137E,[BOX] 고래미 숭어어란 파우더 60g,과세,9
G610E,[BOX] 고래미 시메니싱 L 1kg,과세,6
G609E,[BOX] 고래미 시메니싱 M 1kg,과세,6
G646E,[BOX] 고래미 시메사바 L 150g,과세,30
G514E,[BOX] 고래미 시메사바 M 120g,과세,30
G649E,[BOX] 고래미 시메사바 S 100g,과세,30
G645E,[BOX] 고래미 시메사바 XS 70g,과세,30
G515E,[BOX] 고래미 시메사바720g,과세,
G516E,[BOX] 고래미 시메사바750g,과세,
G513E,[BOX] 고래미 시메사바S 700g x 8개입,과세,
G527E,[BOX] 고래미 양념꼬막장1kg,과세,6
G538E,[BOX] 고래미 어니언 타코와사비 1kg,과세,6
G528E,[BOX] 고래미 연어타다끼 1kg,과세,8
G059E,[BOX] 고래미 염장모즈쿠750g,면세,
G135E,[BOX] 고래미 유자폰즈소스 600g,과세,
G098E,[BOX] 고래미 육즙 가득 메로 구이 450g x 10EA,과세,
G099E,[BOX] 고래미 육즙 가득 메로 머리 구이 750g x 10EA,과세,
G100E,[BOX] 고래미 육즙 가득 연어 구이 750g x 10EA,과세,
D625E,[BOX] 고래미 육즙 가득 자숙 통오징어 M 500g x 10EA,과세,
G031E,[BOX] 고래미 이까게소가라아게1kg,과세,
G529E,[BOX] 고래미 자숙문어다리300g,면세,30
G023E,[BOX] 고래미 장어구이 [150g],과세,
G030E,[BOX] 고래미 참치알조림1kg,과세,
G787E,[BOX] 고래미 청어알 골드 160g (80g x 2ea) MSC 인증,과세,24
G532E,[BOX] 고래미 청어알 골드 300g MSC 인증,과세,20
G786E,[BOX] 고래미 청어알 그린 160g (80g x 2ea) MSC 인증,과세,24
G531E,[BOX] 고래미 청어알 그린 300g MSC 인증,과세,20
G788E,[BOX] 고래미 청어알 스칼렛 160g (80g x 2ea) MSC 인증,과세,24
G533E,[BOX] 고래미 청어알 스칼렛 300g MSC 인증,과세,20
D695E,[BOX] 고래미 카즈노코니싱 500g,과세,12
G094E,[BOX] 고래미 코모치 야리이까 750g,과세,
G032E,[BOX] 고래미 타코가라아게1kg,과세,
D945E,[BOX] 고래미 타코와사비 250g,과세,20
G539E,[BOX] 고래미 타코와사비 마일드 1kg,과세,6
G677E,[BOX] 고래미 타코와사비 프로 1kg,과세,6
D631E,[BOX] 고래미 프로펠러 클램 와사비 1kg,과세,6
D630E,[BOX] 고래미 프로펠러 클램 와사비 500g,과세,12
G565E,[BOX] 고래미 홍게살 크림 파스타 소스 1kg,과세,6
G608E,[BOX] 고래조개 와사비 1kg,과세,6
D603E,[BOX] 낙지연포탕(R) 600g x 12ea,과세,12
G605E,[BOX] 마구로 슈토우 1kg,과세,6
D615E,[BOX] 마라룽샤(R) 580g x 12ea,과세,12
D616E,[BOX] 마라새우(R) 580g x 12ea,과세,12
G522E,[BOX] 매콤칼칼 바지락술찜 500g (냉장),과세,10
D051E,[BOX] 모둠해물탕(R) 750g x 12ea,과세,12
D646E,[BOX] 모즈쿠 80g (냉장),과세,30
D055E,[BOX] 민어매운탕(R) 680g x 12ea,과세,12
D102E,[BOX] 설래담 간장새우비빔장 320g(80g x 4ea)(냉동),과세,8
D601E,[BOX] 설래담 간장새우비빔장 400g x 12개입,과세,
D013E,[BOX] 설래담 간장새우비빔장 80g X 30개입,과세,30
D008E,[BOX] 설래담 간장새우장 700g x 12개입,과세,
D739E,[BOX] 설래담 고노와다 320g(80g x 4ea)(냉동),면세,8
D602E,[BOX] 설래담 고노와다 400g X 12개입,면세,
D018E,[BOX] 설래담 고노와다 80g X 30개입,면세,30
D603E,[BOX] 설래담 낙지연포탕 600g x 12ea,과세,
D603E,[BOX] 설래담 낙지연포탕 680g,면세,12
D099E,[BOX] 설래담 더진한 붉은대게장 320g(80g x 4ea)(냉동),과세,8
D612E,[BOX] 설래담 더진한 붉은대게장 400g x 12개입,과세,
